Guatemala,GTM,"['14.6349149', '-90.5068824']","['El Salvador', 'Belize', 'Honduras', 'Mexico']"
Kuwait,KWT,"['29.375859', '47.9774052']","['Iraq', 'Saudi Arabia']"
Georgia,GEO,"['41.7151377', '44.827096']","['Armenia', 'Azerbaijan', 'Turkey', 'Russian Federation']"
Grenada,GRD,"['12.0560975', '-61.7487996']",[]
Croatia,HRV,"['45.8150108', '15.9819189']","['Slovenia', 'Serbia', 'Hungary', 'Bosnia and Herzegovina']"
Kenya,KEN,"['-1.2920659', '36.8219462']","['Uganda', 'Ethiopia', 'Sudan', 'Somalia', 'Tanzania']"
Côte d'Ivoire,CIV,"['6.8276228', '-5.2893433']","['Ghana', 'Guinea', 'Burkina Faso', 'Mali', 'Liberia']"
Costa Rica,CRI,"['9.9280694', '-84.0907246']","['Nicaragua', 'Panama']"
Kosovo,KOS,"['21.1655', '42.6629']","['Albania', 'Serbia', 'Macedonia', 'Montenegro']"
Comoros,COM,"['-11.7172157', '43.2473146']",[]
Colombia,COL,"['4.7109886', '-74.072092']","['Ecuador', 'Panama', 'Brazil', 'Venezuela', 'Peru']"
Congo,COG,"['-4.2633597', '15.2428853']","['Angola', 'Gabon', 'Cameroon', 'Congo', 'Central African Republic']"
Congo,COD,"['-4.4419311', '15.2662931']","['Angola', 'Uganda', 'Congo', 'Zambia', 'Sudan', 'Tanzania', 'Central African Republic', 'Burundi', 'Rwanda']"
Saudi Arabia,SAU,"['24.7135517', '46.6752957']","['United Arab Emirates', 'Yemen', 'Iraq', 'Oman', 'Qatar', 'Kuwait', 'Jordan']"
Samoa,WSM,"['-13.8506958', '-171.7513551']",[]
Sao Tome and Principe,STP,"['0.3301924', '6.733343']",[]
Zambia,ZMB,"['-15.3875259', '28.3228165']","['Angola', 'Congo', 'Zimbabwe', 'Tanzania', 'Namibia', 'Botswana', 'Malawi', 'Mozambique']"
San Marino,SMR,"['43.9355907', '12.4472806']",['Italy']
Sierra Leone,SLE,"['8.4656765', '-13.2317225']","['Guinea', 'Liberia']"
Djibouti,DJI,"['11.5720765', '43.1456475']","['Ethiopia', 'Eritrea', 'Somalia']"
Jamaica,JAM,"['18.0178743', '-76.8099041']",[]
Syrian Arab Republic,SYR,"['33.5138073', '36.2765279']","['Israel', 'Iraq', 'Turkey', 'Jordan', 'Lebanon']"
Singapore,SGP,"['1.355429', '103.867722']",[]
Zimbabwe,ZWE,"['-17.8251657', '31.03351']","['Zambia', 'Botswana', 'South Africa', 'Mozambique']"
Switzerland,CHE,"['46.9479739', '7.4474468']","['Italy', 'Austria', 'Germany', 'France', 'Liechtenstein']"
Sweden,SWE,"['59.3293235', '18.0685808']","['Finland', 'Norway']"
Sudan,SDN,"['15.5006544', '32.5598994']","['Uganda', 'Egypt', 'Ethiopia', 'Eritrea', 'Kenya', 'Congo', 'Chad', 'Central African Republic', 'Libya']"
Spain,ESP,"['40.4167754', '-3.7037902']","['Andorra', 'United Kingdom', 'France', 'Portugal', 'Morocco']"
Suriname,SUR,"['5.8520355', '-55.2038278']","['Guyana', 'France', 'Brazil']"
Sri Lanka,LKA,"['6.8867616', '79.9187142']",[]
Slovakia,SVK,"['48.1485965', '17.1077478']","['Ukraine', 'Austria', 'Czech Republic', 'Hungary', 'Poland']"
Slovenia,SVN,"['46.0569465', '14.5057515']","['Italy', 'Austria', 'Croatia', 'Hungary']"
Swaziland,SWZ,"['-26.3054482', '31.1366715']","['South Africa', 'Mozambique']"
Seychelles,SYC,"['-4.619143', '55.4513149']",[]
Equatorial Guinea,GNQ,"['3.7504118', '8.7371039']","['Gabon', 'Cameroon']"
Senegal,SEN,"['14.716677', '-17.4676861']","['Gambia', 'Guinea', 'Guinea-Bissau', 'Mali', 'Mauritania']"
Serbia,SRB,"['44.786568', '20.4489216']","['Croatia', 'Kosovo', 'Hungary', 'Bulgaria', 'Bosnia and Herzegovina', 'Macedonia', 'Montenegro', 'Romania']"
Saint Kitts and Nevis,KNA,"['17.3026058', '-62.7176924']",[]
Saint Vincent and the Grenadines,VCT,"['13.1600249', '-61.2248157']",[]
